ID,Apa hambatan utama Anda saat mencari lokasi-lokasi tadi?,"Ketika kesulitan mencari gedung, ruangan, atau fasilitas di kampus, mana tindakan yang Anda lakukan?",Bagaimana tampilan antarmuka pengguna yang Anda harapkan jika dibuat suatu aplikasi sistem navigasi untuk multikampus ITB?
1,"Tata letak kampus rumit, Tidak ada peta/denah/petunjuk yang jelas, Rendahnya aksesibilitas untuk disabilitas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",
2,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas",Bertanya ke orang lain,
3,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",Simpel dan layoutnya tidak rumit
4,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri","Yang simpel, Cukup menampilkan peta kampus dan interaktif untuk setiap gedung "
5,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber, Rendahnya aksesibilitas untuk disabilitas","Mencari informasi di internet, Melakukan eksplorasi sendiri",
6,Tidak ada peta/denah/petunjuk yang jelas,"Bertanya ke orang lain, Melakukan eksplorasi sendiri",
7,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber","Bertanya ke orang lain, Menggunakan OA LINE ITB Ganesha Map","Ada search bar untuk mencari berdasarkan nama yg menghighlight gedung yg dicari

Menampilkan peta ganesha dimana kita bisa memencet sebuah gedung untuk melihat ruangan yg ada di dalamnya"
8,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",Yang warnanya pink
9,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber","Bertanya ke orang lain, Melakukan eksplorasi sendiri",
10,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Rendahnya aksesibilitas untuk disabilitas","Bertanya ke orang lain, Menggunakan aplikasi/web master ruangan per kampus","Clean, sleek design"
11,Penomoran ruangan tidak konsisten,"Mencari informasi di internet, Bertanya ke orang lain",-
12,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Informasi tersebar di banyak sumber, Rendahnya aksesibilitas untuk disabilitas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",Yang tidak ngelag dan ringan
13,Tidak ada peta/denah/petunjuk yang jelas,"Bertanya ke orang lain, Melakukan eksplorasi sendiri",
14,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri",
15,"Tata letak kampus rumit, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri","bagian awal terdapat pilihan kampus yang ingin dituju, kemudian setidaknya terdapat navigasi rute pejalan kaki menuju gedung yang dituju"
16,"Tata letak kampus rumit, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",Yang user-friendly
17,"Tata letak kampus rumit, Tidak ada peta/denah/petunjuk yang jelas",Bertanya ke orang lain,
18,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",
19,Informasi tersebar di banyak sumber,"Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",
20,"Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber",Bertanya ke orang lain,
21,Tata letak kampus rumit,Melakukan eksplorasi sendiri,
22,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",
23,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri",
24,Tidak ada peta/denah/petunjuk yang jelas,"Bertanya ke orang lain, Melakukan eksplorasi sendiri",
25,Tidak ada peta/denah/petunjuk yang jelas,"Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri","Penampilan utama langsung ke peta besar suatu kampus ITB (asumsilah kampus Ganesha karena yang paling sering dikunjungi saat ini), tidak memasukkan gedung2 yang tidak dalam ITB karena di luar scope aplikasi ""denah kampus"" sehingga aplikasi bisa hanya fokus ke kampus saja.Peta ini bisa dizoom dan diclick setiap gedung untuk ""lihat detail"" dan ""navigasi"", pastikan juga ada menu untuk search bar dan kalau bisa ada daftar gedung/fasilitas.
Setelah itu, untuk interface setiap gedung/fasilitas, beri peta yang ada legenda di mana toilet, kantin, musholla yang ada. Kalau bisa, juga ada semacam fitur yang memberi rekomendasi fasilitas (toilet, kantin, musholla) terdekat dari suatu lokasi"
26,"Tata letak kampus rumit","Mencari informasi di internet, Melakukan eksplorasi sendiri",
27,"Tata letak kampus rumit, Tidak ada peta/denah/petunjuk yang jelas",Bertanya ke orang lain,
28,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Mencari informasi di internet, Melakukan eksplorasi sendiri",
29,"Tata letak kampus rumit, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri",ada smart bot nya
30,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri","sleek, modern, minimalistik, user-friendly, responsive"
31,Tidak ada peta/denah/petunjuk yang jelas,"Mencari informasi di internet, Bertanya ke orang lain",
32,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Mencari informasi di internet, Bertanya ke orang lain",
33,Tidak ada peta/denah/petunjuk yang jelas,"Bertanya ke orang lain, Melakukan eksplorasi sendiri","dibikin peta ketiga kampus, terus bisa filter sesuai mau nyari apa
(tau Genshin Impact Interactive Map gak? kurleb seperti itu bakal membantu sih soalnya simpel dan sistem filternya enak)"
34,Tidak ada peta/denah/petunjuk yang jelas,"Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",Seperti antarmuka google map
35,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber, Rendahnya aksesibilitas untuk disabilitas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",Kayak google maps pun tak apa sudah sangat membantu 😭 
